序号,股票代码,股票简称
1,603986,兆易创新
2,603799,华友钴业
3,603501,韦尔股份
4,603288,海天味业
5,603259,药明康德
6,601995,中金公司
7,601919,中远海控
8,601899,紫金矿业
9,601888,中国中免
10,601857,中国石油
11,601728,中国电信
12,601688,华泰证券
13,601668,中国建筑
14,601633,长城汽车
15,601628,中国人寿
16,601601,中国太保
17,601398,工商银行
18,601318,中国平安
19,601288,农业银行
20,601211,国泰君安
21,601166,兴业银行
22,601088,中国神华
23,601066,中信建投
24,601012,隆基绿能
25,600905,三峡能源
26,600900,长江电力
27,600893,航发动力
28,600887,伊利股份
29,600837,海通证券
30,600809,山西汾酒
31,600745,闻泰科技
32,600690,海尔智家
33,600588,用友网络
34,600585,海螺水泥
35,600570,恒生电子
36,600519,贵州茅台
37,600438,通威股份
38,600436,片仔癀
39,600346,恒力石化
40,600309,万华化学
41,600276,恒瑞医药
42,600196,复星医药
43,600111,北方稀土
44,600104,上汽集团
45,600048,保利发展
46,600036,招商银行
47,600031,三一重工
48,600030,中信证券
49,600028,中国石化
50,600010,包钢股份